,Unnamed: 0,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
208987,2751548,,Thu Apr 09 12:15:51 +0000 2020,,,,3,1248223095300784128,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This corona ting has taught me living paycheck to paycheck is dangerous af.  😅,https://twitter.com/Alesi0o/status/1248223095300784128,Sun Feb 23 11:41:30 +0000 2020,Alesi0o,False,wys 🇦🇱,83.0,29.0,27.0,0.0,"Kukes, United Kingdom",Alesio,Alesi0o,117.0,,,False
509,10665,,Thu Mar 19 23:29:18 +0000 2020,,,,0,1240782428211425281,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this Corona panic really gimme a glimpse of how ppl would behave during the apocalypse,https://twitter.com/elj0_/status/1240782428211425281,Sat Dec 08 02:03:35 +0000 2012,elj0_,False,slow but deliberate; cohost of @thereasoning876  || ig: _elj0,51706.0,858.0,536.0,10.0,Jamaica,Joel 🎙,elj0_,33478.0,,http://www.youtube.com/c/TheReasoning876,False
201928,2650332,,Thu Apr 09 03:03:37 +0000 2020,,,,0,1248084120749477889,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I was supposed to be performing in St Louis this weekend, instead I’m going on Pinterest to find a good lasagna recipe. Fuck this corona bullshit. 

But also, I’m excited about lasagna. 🤷🏽‍♂️",https://twitter.com/PeterSers/status/1248084120749477889,Wed Jan 04 06:35:26 +0000 2012,PeterSers,False,COMEDIAN-Comedy album “Man of the Hood” available everywhere.  HOST-“The Camera Adds Ten Pounds” podcast,18335.0,1140.0,408.0,73.0,Hollywood,Peter Sers ✌🏽🖤🎙☠️,PeterSers,35629.0,,http://www.petersers.com,False
54181,898038,,Tue Mar 24 20:12:53 +0000 2020,,,,2,1242544940812570625,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Corona holiday is boring,https://twitter.com/ByaruhangaUrba1/status/1242544940812570625,Fri Sep 04 17:39:04 +0000 2015,ByaruhangaUrba1,False,God fearing.,154.0,767.0,1359.0,0.0,Kampala,Urban Armstrong,ByaruhangaUrba1,80.0,,,False
212718,2806238,,Thu Apr 09 17:17:23 +0000 2020,,,,0,1248298980326268928,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","this Corona things cause a domino effect, it’s not about hale and health anymore..",https://twitter.com/HelloNukii/status/1248298980326268928,Tue Aug 25 08:09:25 +0000 2009,HelloNukii,False,Oops!! 🙈,163.0,259.0,167.0,1.0,"ÜT: -6.961465,110.254208",nuki nurazizah,HelloNukii,26423.0,,,False
221547,2940326,,Fri Apr 10 08:12:05 +0000 2020,,,,2,1248524135753367552,mingbubu,1.2485240328083333e+18,595584728.0,en,,,1.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",corona pls go away 🚿🧴🚿🧴🚿🧴🚿🧴🚿🧴,https://twitter.com/mingbubu/status/1248524135753367552,Thu May 31 15:43:22 +0000 2012,mingbubu,False,⚡️ mg + wz ⚡️ 주의: 혼잣말 자주 하는 편,6404.0,1746.0,302.0,121.0,,⚡️💛⚡️,mingbubu,319141.0,,,False
130434,1677677,,Wed Apr 01 11:28:51 +0000 2020,,,,1,1245312165998886915,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thanks to Nizamuddin coz finally Bhakts have found a color for the Corona Virus.Btw let me clear it's not a Corona virus it's a Corona Jihad.,https://twitter.com/EjazHassankhan/status/1245312165998886915,Tue Oct 11 18:52:09 +0000 2011,EjazHassankhan,False,MEDIA PROFESSIONAL,,,,,,,,,,,
238995,3192999,,Mon Apr 13 05:04:41 +0000 2020,COVID19,,,0,1249564141439746049,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1) #COVID19 has impacted the entire world but developing countries will be the ones to take the worst hit. Along with corona &amp; economic challenges, hunger is their biggest worry",https://twitter.com/DrBakhtawar3/status/1249564141439746049,Thu Mar 12 09:16:59 +0000 2020,DrBakhtawar3,False,Neurologist,4.0,2.0,14.0,0.0,Jammu And Kashmir,Dr.Mohammed Bakhtawar Bhat,DrBakhtawar3,21.0,,,False
167917,2161381,,Sun Apr 05 09:01:07 +0000 2020,,,,0,1246724538936758272,,,,en,"Eastern, Kenya",,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Most of those testing corona positive travelled from outside.
If the government had stopped the traveling we would have no Cases.

The government is Guilty as charged
They are responsible",https://twitter.com/JamboDennis/status/1246724538936758272,Tue Jul 02 06:12:02 +0000 2013,JamboDennis,False,"Dad,Husband,politician,comical & loving. we grow together.",53.0,1564.0,920.0,1.0,chuka kenya,dennis jambo,JamboDennis,715.0,,,False
127145,1677677,,Wed Apr 01 11:28:51 +0000 2020,,,,1,1245312165998886915,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thanks to Nizamuddin coz finally Bhakts have found a color for the Corona Virus.Btw let me clear it's not a Corona virus it's a Corona Jihad.,https://twitter.com/EjazHassankhan/status/1245312165998886915,Tue Oct 11 18:52:09 +0000 2011,EjazHassankhan,False,MEDIA PROFESSIONAL,,,,,,,,,,,
